time,open,high,low,close
2023-04-28T10:30:00-03:00,4128.53,4130.91,4127.18,4130.62
2023-04-28T10:31:00-03:00,4130.69,4131.2,4128.46,4130.24
2023-04-28T10:32:00-03:00,4129.78,4132.42,4129.78,4132.13
2023-04-28T10:33:00-03:00,4132.22,4132.22,4130.53,4130.69
2023-04-28T10:34:00-03:00,4130.68,4132.47,4130.65,4131.5
2023-04-28T10:35:00-03:00,4131.48,4133.76,4131.33,4133.59
2023-04-28T10:36:00-03:00,4133.67,4133.81,4132.78,4132.99
2023-04-28T10:37:00-03:00,4133.08,4133.27,4132.18,4133.09
2023-04-28T10:38:00-03:00,4132.98,4134.69,4132.91,4134.39
2023-04-28T10:39:00-03:00,4134.04,4135,4133.8,4134.98
2023-04-28T10:40:00-03:00,4134.76,4135.44,4134.02,4134.77
2023-04-28T10:41:00-03:00,4134.74,4135.23,4132.14,4133.17
2023-04-28T10:42:00-03:00,4132.75,4132.93,4130.86,4131.72
2023-04-28T10:43:00-03:00,4131.92,4133.06,4131.11,4133.05
2023-04-28T10:44:00-03:00,4133.18,4133.18,4131.85,4133.01
2023-04-28T10:45:00-03:00,4133.07,4134.84,4132.24,4134.65
2023-04-28T10:46:00-03:00,4134.53,4137.72,4134.53,4137.72
2023-04-28T10:47:00-03:00,4137.72,4138.14,4136.49,4137.63
2023-04-28T10:48:00-03:00,4137.58,4138.29,4136.87,4138.29
2023-04-28T10:49:00-03:00,4138.39,4138.53,4136.2,4136.55
2023-04-28T10:50:00-03:00,4136.53,4137.75,4136.07,4137.43
2023-04-28T10:51:00-03:00,4137.08,4137.72,4136.83,4137.72
2023-04-28T10:52:00-03:00,4137.84,4138.09,4137.17,4137.72
2023-04-28T10:53:00-03:00,4137.75,4137.75,4136.36,4137.43
2023-04-28T10:54:00-03:00,4137.29,4138.27,4137.1,4138.05
2023-04-28T10:55:00-03:00,4138.13,4139.23,4137.87,4139.05
2023-04-28T10:56:00-03:00,4139.08,4139.33,4138.45,4138.74
2023-04-28T10:57:00-03:00,4138.87,4139.37,4138.51,4138.6
2023-04-28T10:58:00-03:00,4138.63,4138.63,4137.67,4137.86
2023-04-28T10:59:00-03:00,4137.91,4138.58,4136.29,4136.6
2023-04-28T11:00:00-03:00,4136.93,4136.94,4135.59,4136.47
2023-04-28T11:01:00-03:00,4136.73,4137.64,4135.33,4137.64
2023-04-28T11:02:00-03:00,4137.83,4139.26,4137.35,4139.26
2023-04-28T11:03:00-03:00,4139.25,4140.22,4139.17,4140.18
2023-04-28T11:04:00-03:00,4140.25,4141.55,4139.97,4141.52
2023-04-28T11:05:00-03:00,4141.48,4144.02,4141.02,4144
2023-04-28T11:06:00-03:00,4144.12,4146.17,4143.86,4146.06
2023-04-28T11:07:00-03:00,4146.06,4146.16,4145.13,4145.44
2023-04-28T11:08:00-03:00,4145.4,4147.5,4145.3,4147.37
2023-04-28T11:09:00-03:00,4147.44,4151.1,4147.44,4150.27
2023-04-28T11:10:00-03:00,4150.17,4151.94,4149.86,4151.68
2023-04-28T11:11:00-03:00,4151.84,4153.89,4151.45,4151.45
2023-04-28T11:12:00-03:00,4151.76,4152.68,4151.57,4151.91
2023-04-28T11:13:00-03:00,4152.01,4152.12,4149.73,4150.66
2023-04-28T11:14:00-03:00,4151.38,4152.36,4151.26,4152.25
2023-04-28T11:15:00-03:00,4152.42,4153.54,4151.99,4153.22
